## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 43203C11   0   6   b    2       9          3              1      HB   -15    17      2
 43103811   0   6   b    2       9          3              2      HB   -14    17      1
 43103C11   0   6   b    2       9          4              0      HB   -15    17      1
 43103411   0   6   b    2       9          4              1      HB   -13    17      1
 43104011   0   6   b    2       9          4              2      HB   -16    17      1
 45104412   0   6   b    2       9          5              0      HE   -17    18      1
 45304012   0   6   b    2       9          5              1      HE   -16    18      3
 45106811   0   6   b    2       9          5              2      HE   -26    17      1
 45104812   0   6   b    2       9          6              0      HE   -18    18      1
 45204812   0   6   b    2       9          6              1      HE   -18    18      2
 45206811   0   6   b    2       9          6              2      HE   -26    17      2
 45104411   0   6   b    2       9          7              0      HE   -17    17      1
 45304011   0   6   b    2       9          7              1      HE   -16    17      3
 45106411   0   6   b    2       9          7              2      HE   -25    17      1
 45104811   0   6   b    2       9          8              0      HE   -18    17      1
 45204811   0   6   b    2       9          8              1      HE   -18    17      2
 45206411   0   6   b    2       9          8              2      HE   -25    17      2
 45106C0F   0   7   t    2      10          1              0      HE   -27    15      1
 45206C0F   0   7   t    2      10          1              1      HE   -27    15      2
 4520740F   0   7   t    2      10          1              2      HE   -29    15      2
 45306C0F   0   7   t    2      10          2              0      HE   -27    15      3
 45205C0F   0   7   t    2      10          2              1      HE   -23    15      2
 45105C0F   0   7   t    2      10          2              2      HE   -23    15      1
 4510700F   0   7   t    2      10          3              0      HE   -28    15      1
 4520700F   0   7   t    2      10          3              1      HE   -28    15      2
 4510740F   0   7   t    2      10          3              2      HE   -29    15      1
 4530700F   0   7   t    2      10          4              0      HE   -28    15      3
 4520600F   0   7   t    2      10          4              1      HE   -24    15      2
 4510600F   0   7   t    2      10          4              2      HE   -24    15      1
 45204C10   0   7   t    2      10          5              0      HE   -19    16      2
 45105010   0   7   t    2      10          5              1      HE   -20    16      1
 4520540F   0   7   t    2      10          5              2      HE   -21    15      2
 45104C10   0   7   t    2      10          6              0      HE   -19    16      1
 45205010   0   7   t    2      10          6              1      HE   -20    16      2
 4510540F   0   7   t    2      10          6              2      HE   -21    15      1
 45204C0F   0   7   t    2      10          7              0      HE   -19    15      2
 4510500F   0   7   t    2      10          7              1      HE   -20    15      1
 4520580F   0   7   t    2      10          7              2      HE   -22    15      2
 45104C0F   0   7   t    2      10          8              0      HE   -19    15      1
 4520500F   0   7   t    2      10          8              1      HE   -20    15      2
